Neighbourhood,Neighbourhood_ID
Agincourt North,1
Agincourt South-Malvern West,2
Alderwood,3
Annex,4
Avondale,5
Banbury-Don Mills,6
Bathurst Manor,7
Bay-Cloverhill,8
Bayview Village,9
Bayview Woods-Steeles,10
Bedford Park-Nortown,11
Beechborough-Greenbrook,12
Bendale South,13
Bendale-Glen Andrew,14
Birchcliffe-Cliffside,15
Black Creek,16
Blake-Jones,17
Briar Hill-Belgravia,18
Bridle Path-Sunnybrook-York Mills,19
Broadview North,20
Brookhaven-Amesbury,21
Cabbagetown-South St.James Town,22
Caledonia-Fairbank,23
Casa Loma,24
Centennial Scarborough,25
Church-Wellesley,26
Clairlea-Birchmount,27
Clanton Park,28
Cliffcrest,29
Corso Italia-Davenport,30
Danforth,31
Danforth East York,32
Don Valley Village,33
Dorset Park,34
Dovercourt Village,35
Downsview,36
Downtown Yonge East,37
Dufferin Grove,38
East End-Danforth,39
East L'Amoreaux,40
East Willowdale,41
Edenbridge-Humber Valley,42
Eglinton East,43
Elms-Old Rexdale,44
Englemount-Lawrence,45
Eringate-Centennial-West Deane,46
Etobicoke City Centre,47
Etobicoke West Mall,48
Fenside-Parkwoods,49
Flemingdon Park,50
Forest Hill North,51
Forest Hill South,52
Fort York-Liberty Village,53
Glenfield-Jane Heights,54
Golfdale-Cedarbrae-Woburn,55
Greenwood-Coxwell,56
Guildwood,57
Harbourfront-CityPlace,58
Henry Farm,59
High Park North,60
High Park-Swansea,61
Highland Creek,62
Hillcrest Village,63
Humber Bay Shores,64
Humber Heights-Westmount,65
Humber Summit,66
Humbermede,67
Humewood-Cedarvale,68
Ionview,69
Islington,70
Junction Area,71
Junction-Wallace Emerson,72
Keelesdale-Eglinton West,73
Kennedy Park,74
Kensington-Chinatown,75
Kingsview Village-The Westway,76
Kingsway South,77
L'Amoreaux West,78
Lambton Baby Point,79
Lansing-Westgate,80
Lawrence Park North,81
Lawrence Park South,82
Leaside-Bennington,83
Little Portugal,84
Long Branch,85
Malvern East,86
Malvern West,87
Maple Leaf,88
Markland Wood,89
Milliken,90
Mimico-Queensway,91
Morningside,92
Morningside Heights,93
Moss Park,94
Mount Dennis,95
Mount Olive-Silverstone-Jamestown,96
Mount Pleasant East,97
NSA,98
New Toronto,99
Newtonbrook East,100
Newtonbrook West,101
North Riverdale,102
North St.James Town,103
North Toronto,104
O'Connor-Parkview,105
Oakdale-Beverley Heights,106
Oakridge,107
Oakwood Village,108
Old East York,109
Palmerston-Little Italy,110
Parkwoods-O'Connor Hills,111
Pelmo Park-Humberlea,112
Playter Estates-Danforth,113
Pleasant View,114
Princess-Rosethorn,115
Regent Park,116
Rexdale-Kipling,117
Rockcliffe-Smythe,118
Roncesvalles,119
Rosedale-Moore Park,120
Runnymede-Bloor West Village,121
Rustic,122
Scarborough Village,123
South Eglinton-Davisville,124
South Parkdale,125
South Riverdale,126
St Lawrence-East Bayfront-The Islands ,127
St.Andrew-Windfields,128
Steeles,129
Stonegate-Queensway,130
Tam O'Shanter-Sullivan,131
Taylor-Massey,132
The Beaches,133
Thistletown-Beaumond Heights,134
Thorncliffe Park,135
Trinity-Bellwoods,136
University,137
Victoria Village,138
Wellington Place,139
West Hill,140
West Humber-Clairville,141
West Queen West,142
West Rouge,143
Westminster-Branson,144
Weston,145
Weston-Pelham Park,146
Wexford/Maryvale,147
Willowdale West,148
Willowridge-Martingrove-Richview,149
Woburn North,150
Woodbine Corridor,151
Woodbine-Lumsden,152
Wychwood,153
Yonge-Bay Corridor,154
Yonge-Doris,155
Yonge-Eglinton,156
Yonge-St.Clair,157
York University Heights,158
Yorkdale-Glen Park,159
